stop_id,stop_name,station_id,geo_cluster
B_0900R3-TEATRODANZA,Teatro y Danza,station_57_0,57
B_0900R3-DGIRE,DGIRE,station_57_1,57
B_0900R3-PECONOMIA,Posgrado de Economía,station_57_2,57
B_0900R3-UPOSGRADO,Unidad de Posgrado,station_58_0,58
B_0900R3-ZONACULTURAL,Zona Cultural,station_59_0,59
B_0900R3-MUAC,MUAC,station_59_1,59
B_0900R3-BIBLIOTECNAL2,Biblioteca Nacional 2,station_59_2,59
B_0900R3-BIBLIOTECANAL,Biblioteca Nacional,station_59_2,59
B_0300L1-CCU,CCU,station_59_3,59
B_0900R3-ESCULTORICO,Espacio Escultórico,station_60_0,60
B_0900R3-IJURIDICAS2,Investigaciones Jurídicas 2,station_61_0,61
B_0900R3-IJURIDICAS,Investigaciones Jurídicas,station_61_0,61
B_0900R3-FCPOLITICAS,Facultad de Ciencias Políticas,station_62_0,62
B_0900R3-TVUNAM,TV UNAM,station_62_1,62
B_0900R3-CUEC,CUEC,station_62_2,62
B_0900R3-DGSA,DGSA,station_63_0,63
B_0900R3-TIENDAUNAM,Tienda UNAM,station_63_1,63
B_0900R3-TIENDAUNAM2,Tienda UNAM 2,station_63_1,63
B_0900R2-DGTIC,DGTIC,station_64_0,64
B_0900R2-FCONTADMIN,Facultad de Contaduría y Administración,station_64_1,64
B_0900R2-FCIENCIAS,Facultad de Ciencias ,station_65_0,65
B_0900R2-FCIENCIASALU,Facultad de Ciencias Alumnos,station_65_1,65
B_0900R2-BASEMCU,Base Metro Universidad,station_66_0,66
B_0900R1-BASEMCU,Base Metro Universidad,station_66_0,66
B_0100C210-CETRAMCU,Base Cetram CU,station_66_1,66
B_0200L3-UNIVERSIDAD,Universidad,station_66_0,66
B_05123A0-CETRAMCU,Cetram Universidad anden B,station_66_2,66
B_05123A0-PARADEROCU,Paradero Metro Universidad lado poniente,station_66_3,66
B_0900R1-QUIMICADE,Química Conjunto D y E,station_67_0,67
B_0900R1-IGEOFISICA,Instituto de Geofísica,station_68_0,68
B_0900R1-CENDI,CENDI,station_68_1,68
B_0900R1-FMVETERINARIA,Facultad M. Veterinaria,station_69_0,69
B_0900R1-FMEDICINA,Facultad de Medicina,station_70_0,70
B_0900R1-PSIQUIATRIASM,Psiquiatría y Salud Mental,station_70_1,70
B_0900R1-RECTORIA,Rectoría,station_71_0,71
B_01023D00-TEXACALCOT,Texacalco - Tecamachalco,station_72_0,72
B_01023D00-TEXACALCO,Texacalco ,station_72_1,72
B_01023D01-TEXATLATUL,Texacalco - Fuente de Templanza Atlatunco,station_72_2,72
B_01023D01-ATLATULTLAX,Fuente de Templanza Atlatunco - Tlaxcatitlán,station_72_2,72
B_01023D01-ATLATULCHAY,Fuente de Templanza Atlatunco - Chayiyicame,station_72_3,72
B_01023D00-ATLATULCO,Fuente de Templanza Atlatunco - Acuezunco,station_72_4,72
B_01023D00-FTESTECAMA,Av. de las Fuentes - Tecamachalco,station_73_0,73
B_01023D01-GTAVFUENTS,Glorieta Av. de las Fuentes,station_74_0,74
B_01023D00-TRITONJUANA,Fuente de Tritones - Juana de Arco,station_74_1,74
B_0100C831-FTEJUANARCO,Av. de las Fuentes - Fuente Juana de Arco,station_74_2,74
B_01023D00-TRITONADAN,Fuente de Tritones - Fuente de Adán,station_75_0,75
B_01023C01-TRITONINO,Fuente de Tritones - Fuente del Niño,station_75_1,75
B_01023A01-AGUILAVFTES,Fuente de las Águilas - Av. de las Fuentes,station_75_2,75
B_01023A01-TRITONAVFTE,Fuente de Tritones - Av. de las Fuentes,station_75_3,75
B_01023A01-TRITONAGUIL,Fuente de Tritones - Fuente de las Águilas,station_75_4,75
B_0100C831-FTEPIRAMIDE,Av. de las Fuentes - Fuente Piramide,station_75_5,75
B_01023C00-ESIA,ESIA,station_76_0,76
B_01023C00-AGUAESIA,Agua Caliente - ESIA,station_76_1,76
B_01023C01-AGUAESIA,Agua Caliente - ESIA,station_76_1,76
B_01023C01-AGUALEONES,Agua Caliente - Fuente de los Leones,station_76_2,76
