geo_cluster,n_stops,n_station_ids_tras_paso2,n_agencias,agencias,nombres
190,4,3,3,"['CC', 'RTP', 'TROLE']","['Blvd. Puerto Aéreo - Frente al Mirador', 'Circuito Interior - Norte 25', 'Circuito Interior NOR', 'Norte 25']"
189,4,4,2,"['CC', 'TROLE']","['Av. 549', 'Calle 549', 'Circuito Interior - Formosa', 'Formosa']"
146,4,3,2,"['CC', 'MB']","['Anastacio Sarabia', 'Anastasio Sarabia', 'Atanasio G. Saravia', 'Av. 5 y Sarabia']"
144,4,4,2,"['CC', 'RTP']","['Base Central de Abastos', 'C. C. Central de Abasto - Abarrotes', 'La Nueva Viga', 'Terminal Central de Abastos']"
1015,4,4,2,"['CC', 'RTP']","['Calz. Ermita Iztapalapa - Año de Juárez', 'Calz. Ermita Iztapalapa - Sur 125A', 'Calz. Ermita Iztapalapa - Trojes', 'Ertmita I. y Av. 5']"
615,4,3,2,"['CC', 'RTP']","['11 de Abril', 'Anillo Periférico sur - Héroes de 1914', 'Periférico -  11 de Abril', 'Periférico - 11 de Abril']"
1851,4,3,2,"['CC', 'RTP']","['Av. León de los Aldama y Ejido', 'Ejido - Av. León de los Aldama', 'Gobernador Darío López y Ejido', 'León de los aldama - Dolores Hidalgo']"
458,4,4,2,"['CC', 'RTP']","['Base Salvador Díaz Mirón -  Priv. Díaz Mirón', 'México-Tacuba - La Iglesia de la Merced', 'México-Tacuba - Plan de Ayala', 'Plan de Ayala - Privada de Mirón']"
611,4,3,2,"['CC', 'RTP']","['Anillo Periférico Sur - Fernando Girardon', 'Benvenuto Cellini', 'Periférico - Benvenuto Cellini', 'Periférico - Eje 7 Sur Benvenuto Cellini']"
604,4,3,2,"['CC', 'RTP']","['Cda. de Acapulco - Blvd. Adolfo López Mateos', 'Periférico - Televisa', 'Televisa - San Ángel']"
659,4,4,2,"['CC', 'MB']","['Campeche', 'Campeche e Insurgentes', 'Coahuila - Insurgentes', 'Coahuila - Manzanillo']"
632,4,4,2,"['CC', 'RTP']","['Anillo Periférico Sur', 'Anillo Periférico Sur - Camino Real a Toluca', 'Av. Jalisco', 'Periférico - Av. Jalisco']"
486,4,3,2,"['CC', 'RTP']","['Cruz Blanca - Prol. Morelos', 'México-Cuernavaca Libre - Xóchitl', 'México-Cuernavaca Linre - Km 23 Morelos']"
1746,4,4,2,"['CC', 'RTP']","['Av. Nuevo León - Calle del Puente', 'Av. Nuevo León y Del Puente', 'Av. Nuevo León y Magnolia', 'Tenochtitlan - Cerrada Benito Juárez']"
1745,4,3,2,"['CC', 'RTP']","['Av. Nuevo León - Priv. Nuevo León', 'Av. Nuevo León y Ignacio Zaragoza', 'Tenochtitlan - Cerrada Benito Juárez']"
1743,4,2,2,"['CC', 'RTP']","['Av. Nuevo León y La Curva', 'Callejón Begonia - Av. Nuevo León', 'Callejón Begonia - Av. Nvo. León']"
1742,4,3,2,"['CC', 'RTP']","['Av. Nuevo León y Callejón San Lorenzo', 'Av. Nuevo León y Pino', 'Pino - Callejón San Lorenzo']"
1741,4,2,2,"['CC', 'RTP']","['Av. Nuevo León y La Gloria', 'Callejón la Gloria - Av. Nuevo León']"
616,4,2,2,"['CC', 'RTP']","['Anillo Periférico Blvd. Adolfo Lopez Mateos - Av. Observatorio', 'Periférico - Av. Observatorio', 'Periférico - Observatorio']"
1289,4,2,2,"['CC', 'RTP']","['Eje Central y Jupiter', 'Jupiter']"
1288,4,2,2,"['CC', 'RTP']","['Eje Central y Margarita Maza de Juárez', 'Margarita Maza de Juárez']"
1266,4,4,2,"['CC', 'RTP']","['Bahía la Ascención - Marina Nacional', 'Marina Nacional y Bahía de Ascención y Base Pemex', 'Marina Nacional y Lago Patzcuaro', 'Marina Nacional y lago Zirahuen y  Base Pemex']"
1265,4,3,2,"['CC', 'RTP']","['Miguel Schultz - Guillermo Prieto', 'Miguel Schultz y Guillermo Prieto', 'Rosas Moreno y Guillermo Prieto', 'Serapio Rendon - Guillermo Prieto']"
1260,4,4,3,"['CC', 'MB', 'RTP']","['Calz. Ignacio Zaragoza - Cuauhtémoc', 'Calz. Ignacio Zaragoza - Trinidad Salgado', 'Fray Jesús Almaza y Zaragoza (base)', 'Nicolás Bravo']"
599,4,3,2,"['CC', 'RTP']","['Oaxaca', 'Periférico - Oaxaca', 'Periférico - PFP']"
590,4,4,2,"['CC', 'RTP']","['Anillo Periférico Blvd. Adolfo Ruiz Cortines - Gran Sur', 'Anillo Periférico Blvd. Adolfo Ruiz Cortines - Sala Ollin Yoliztli', 'Periférico - J. F. Kennedy', 'Periférico - Villas Pedregal']"
588,4,3,2,"['CC', 'RTP']","['Anillo Periférico Blvd. Adolfo Ruiz Cortines - Oriente 10', 'Anillo Periférico Blvd. Adolfo Ruiz Cortines - Paris 1900', 'Periférico - 10 Oriente', 'Periférico - México 68']"
